Racial_identity,Total_sheltered,Percent_sheltered,Total_unsheltered,Percent_unsheltered,Total_respondents,Percent_respondents
Arab,15,1,8,0,23,1
East Asian,26,2,21,1,47,1
South East Asian,20,1,14,1,34,1
South Asian,42,2,17,1,59,2
West Asian,23,1,8,0,31,1
Black,70,4,40,2,110,3
Black - Caribbean and Latin America,20,1,14,1,34,1
Black - African,38,2,9,1,47,1
Black - Canadian/American,20,1,21,1,41,1
Latin American,34,2,30,2,64,2
White,1079,63,1011,62,2090,63
Not Listed,130,8,77,5,207,6
Respondents,1717,NA,1624,NA,3341,NA
Don't Know/No Answer,3616,NA,1708,NA,5324,NA
Total,5333,NA,3332,NA,8665,NA
