BC_community,Total_Sheltered,Percent_Sheltered,Total_Unsheltered,Percent_Unsheltered,Total_Respondents_2021,Total_Respondents_2018,Percent_change,address,lat,lon
Campbell River,51,44,65,56,116,81,43,"Campbell River, British Columbia, Canada",50.02465,-125.24819
Comox Valley,58,44,74,56,132,117,13,"Comox Valley, British Columbia, Canada",49.6604,-125.03647
Cranbrook,28,44,35,56,63,29,117,"Cranbrook, British Columbia, Canada",49.51352,-115.76875
Duncan,75,58,54,42,129,150,-14,"Duncan, British Columbia, Canada",48.77909,-123.70739
Fort St. John,35,46,41,54,76,61,25,"Fort St. John, British Columbia, Canada",56.25254,-120.84748
Merritt,9,21,34,79,43,11,291,"Merritt, British Columbia, Canada",50.11157,-120.78738
Parksville/Qualicum,19,22,68,78,87,42,107,"Parksville, British Columbia, Canada",49.31969,-124.31365
Penticton,74,65,40,35,114,108,6,"Penticton, British Columbia, Canada",49.50022,-119.59384
Port Alberni,73,58,52,42,125,147,-15,"Port Alberni, British Columbia, Canada",49.23444,-124.80757
Prince Rupert,45,38,73,62,118,71,66,"Prince Rupert, British Columbia, Canada",54.31326,-130.326
Quesnel,48,40,73,60,121,NA,NA,"Quesnel, British Columbia, Canada",52.97813,-122.49828
Sechelt/ Gibsons,39,46,45,54,84,57,47,"Sechelt, British Columbia, Canada",49.47346,-123.75461
Smithers,0,0,33,100,33,29,14,"Smithers, British Columbia, Canada",54.78312,-127.16848
Squamish,24,22,83,78,107,NA,NA,"Squamish, British Columbia, Canada",49.69854,-123.15505
Vernon,170,76,54,24,224,153,46,"Vernon, British Columbia, Canada",50.26548,-119.27376
Williams Lake,25,49,26,51,51,43,19,"Williams Lake, British Columbia, Canada",52.128660000000004,-122.14113
Fraser Valley,409,46,486,54,895,606,48,"Fraser Valley, British Columbia, Canada",49.58913,-121.86029
Greater Victoria,578,57,430,43,1008,931,8,"Greater Victoria, British Columbia, Canada",48.42855,-123.36445
Kamloops,128,62,78,38,206,195,6,"Kamloops, British Columbia, Canada",50.67626,-120.33902
Kelowna,258,87,39,13,297,286,4,"Kelowna, British Columbia, Canada",49.88698,-119.49661
Metro Vancouver,2605,72,1029,28,3634,3605,1,"Metro Vancouver, British Columbia, Canada",49.26085,-122.95074
Nanaimo,136,33,270,67,406,301,35,"Nanaimo, British Columbia, Canada",49.16425,-123.93616
Prince George,163,88,23,12,186,160,16,"Prince George, British Columbia, Canada",53.91242,-122.74463
Salt Spring Island,37,25,109,75,146,115,27,"Salt Spring Island, British Columbia, Canada",48.85994,-123.5091
Terrace,56,76,18,24,74,96,-22,"Terrace, British Columbia, Canada",54.51591,-128.60321
