BC_community,Total_Under1,Percent_Under1,Total_1to5,Percent_1to5,Total_5to10,Percent_5to10,Total_10plus,Percent_10plus,Total_Always,Percent_Always,Total_Respondents,Do_Not_Know,Total_Homeless_Identified
Campbell River,21,24,15,17,11,13,14,16,25,29,86,30,116
Comox Valley,24,22,17,15,9,8,35,32,25,23,110,22,132
Cranbrook,15,26,10,18,7,12,14,25,11,19,57,6,63
Duncan,11,13,21,24,15,17,25,28,16,18,88,41,129
Fort St. John,18,26,6,9,7,10,13,19,24,35,68,8,76
Merritt,7,27,4,15,1,4,8,31,6,23,26,17,43
Parksville/Qualicum,13,19,17,25,10,15,17,25,11,16,68,19,87
Penticton,19,27,13,18,6,8,22,31,11,15,71,43,114
Port Alberni,4,5,12,14,8,9,21,24,43,49,88,37,125
Prince Rupert,7,8,11,13,3,4,20,24,42,51,83,35,118
Quesnel,16,14,20,18,13,12,34,30,29,26,112,9,121
Sechelt/Gibsons,15,24,13,21,5,8,12,19,17,27,62,22,84
Smithers,4,15,2,8,2,8,3,12,15,58,26,7,33
Squamish,15,18,24,29,11,13,21,26,11,13,82,25,107
Vernon,15,16,25,27,14,15,27,29,12,13,93,131,224
Williams Lake,5,15,3,9,1,3,8,24,17,50,34,17,51
Fraser Valley,0,NA,0,NA,0,NA,0,NA,0,NA,0,895,895
Greater Victoria,78,12,103,16,66,10,241,37,161,25,649,359,1008
Kamloops,33,24,27,20,16,12,41,30,19,14,136,70,206
Kelowna,32,21,39,25,20,13,50,32,13,8,154,143,297
Metro Vancouver,379,18,375,18,235,11,722,35,371,18,2,"1,552",3634
Nanaimo,28,9,52,16,30,9,98,30,118,36,326,80,406
Prince George,9,9,19,18,15,14,36,34,26,25,105,81,186
Salt Spring Isl.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,146
Terrace,12,24,10,20,2,4,12,24,14,28,50,24,74
