Length.of.Time.Without,X,Sheltered,X.1,Unsheltered,X.2,Total,X2018
Own Place,#,%,#,%,#,%,%
Under 6 months,773,32%,537,19%,"1,310",25%,31%
Up to and including 7,,,,,152,3%,3%
days,82,3%,70,3%,,,
8 days to <1 month,148,6%,97,3%,245,5%,5%
1 month to <6 months,543,23%,370,13%,913,18%,23%
6 months to <1 year,324,13%,316,11%,640,12%,17%
1 year and over,"1,313",54%,"1,923",69%,"3,236",62%,52%
Respondents,"2,410",100%,"2,776",100%,"5,186",100%,100%
Don't Know/No Answer,"2,923",,556,,"3,479",,
Total,"5,333",,"3,332",,"8,665",,
