X,X.1,X.2,X.3,X.4,Another,X.5,Don.t,X.6
,,Man,,Woman,Gender,Respondents,Know/,Total
Gender Identity,,,,,Identity,,No Answer,
,#,%,#,%,# %,# %,#,#
Campbell River,54,59%,36,39%,2 2%,92 100%,24,116
Comox Valley,67,59%,40,35%,7 6%,114 100%,18,132
Cranbrook,33,57%,23,40%,2 3%,58 100%,5,63
Duncan,56,65%,29,34%,1 1%,86 100%,43,129
Fort St. John,54,81%,12,18%,1 1%,67 100%,9,76
Merritt,18,72%,7,28%,0 0%,25 100%,18,43
Parksville/Qualicum,51,68%,23,31%,1 1%,75 100%,12,87
Penticton,54,64%,25,30%,5 6%,84 100%,30,114
Port Alberni,57,56%,44,44%,0 0%,101 100%,24,125
Prince Rupert,61,66%,31,33%,1 1%,93 100%,25,118
Quesnel,57,50%,53,46%,5 4%,115 100%,6,121
Sechelt/ Gibsons,40,65%,20,32%,2 3%,62 100%,22,84
Smithers,14,52%,12,44%,1 4%,27 100%,6,33
Squamish,58,64%,31,34%,1 1%,90 100%,17,107
Vernon,65,64%,34,33%,3 3%,102 100%,122,224
Williams Lake,21,60%,14,40%,0 0%,35 100%,16,51
Fraser Valley,533,67%,252,32%,5 1%,790 100%,105,895
Greater Victoria,425,64%,227,34%,16 2%,668 100%,340,"1,008"
Kamloops,103,76%,30,22%,3 2%,136 100%,70,206
Kelowna,113,73%,36,23%,6 4%,155 100%,142,297
Metro Vancouver,"1,570",72%,546,25%,52 2%,"2,168 100%","1,466","3,634"
Nanaimo,239,73%,83,25%,6 2%,328 100%,78,406
Prince George,65,61%,39,36%,3 3%,107 100%,79,186
Salt Spring Island,N/A,N/A,N/A,N/A,N/A N/A,N/A N/A,146,146
Terrace,36,68%,16,30%,1 2%,53 100%,21,74
Other Communities,N/A,N/A,N/A,N/A,N/A N/A,N/A N/A,190,190
Total,"3,844",68%,"1,663",30%,124 2%,"5,631 100%","3,034","8,665"
