X,X.1,Youth,X.2,X.3,X.4,Don.t,X.5
,,(Under 25,Adult (25-54,Senior (55+,,,
Age,,Years of,Years of Age),Years),Respondents,Know/ No,Total
,,Age)33,,,,Answer,
,,# %,# %,# %,# %,#,#
,Campbell River,33 36%,50 54%,9 10%,92 100%,24,116
,Comox Valley,16 14%,77 69%,19 17%,112 100%,20,132
,Cranbrook,8 14%,39 70%,9 16%,56 100%,7,63
,Duncan,8 9%,55 64%,23 27%,86 100%,43,129
,Fort St. John,7 10%,44 63%,19 27%,70 100%,6,76
,Merritt,1 4%,17 65%,8 31%,26 100%,17,43
,Parksville/Qualicum,4 6%,52 74%,14 20%,70 100%,17,87
,Penticton,8 10%,55 66%,20 24%,83 100%,31,114
,Port Alberni,9 9%,75 74%,18 18%,102 100%,23,125
,Prince Rupert,10 11%,62 68%,19 21%,91 100%,27,118
,Quesnel,18 16%,81 73%,12 11%,111 100%,10,121
,Sechelt/Gibsons,5 8%,43 69%,14 23%,62 100%,22,84
,Smithers,5 18%,16 57%,7 25%,28 100%,5,33
,Squamish,10 11%,62 71%,15 17%,87 100%,20,107
,Vernon,9 9%,83 81%,11 11%,103 100%,121,224
,Williams Lake,0 0%,31 91%,3 9%,34 100%,17,51
,Fraser Valley,127 16%,482 62%,165 21%,774 100%,121,895
,Greater Victoria,65 10%,480 71%,130 19%,675 100%,333,"1,008"
,Kamloops,13 9%,91 65%,37 26%,141 100%,65,206
,Kelowna,14 9%,120 76%,23 15%,157 100%,140,297
,Metro Vancouver,193 9%,"1,463 67%",513 24%,"2,169 100%","1,465","3,634"
,Nanaimo,21 6%,261 79%,48 15%,330 100%,76,406
,Prince George,11 10%,75 71%,20 19%,106 100%,80,186
,Salt Spring Island,N/A N/A,N/A N/A,N/A N/A,N/A N/A,146,146
,Terrace,6 11%,39 72%,9 17%,54 100%,20,74
,Other Communities,N/A N/A,N/A N/A,N/A N/A,N/A N/A,190,190
,Total,601 11%,"3,853 69%","1,165 21%","5,619 100%","3,046","8,665"
