X,X.1,X.2,X.3,X.4,Don.t,X.5
,No Health,One Health,Two or,,,
Number of Health Conditions,Concerns,Concern,More Health Concerns,Respondents,Know/ AnswerNo,Total
,# %,# %,# %,# %,#,#
Campbell River,7 8%,18 20%,65 72%,90 100%,26,116
Comox Valley,13 12%,23 20%,77 68%,113 100%,19,132
Cranbrook,4 7%,15 25%,40 68%,59 100%,4,63
Duncan,6 7%,27 31%,55 63%,88 100%,41,129
Fort St. John,8 12%,15 22%,45 66%,68 100%,8,76
Merritt,1 4%,7 26%,19 70%,27 100%,16,43
Parksville/Qualicum,1 1%,15 22%,53 77%,69 100%,18,87
Penticton,6 8%,18 23%,56 70%,80 100%,34,114
Port Alberni,1 1%,18 18%,79 81%,98 100%,27,125
Prince Rupert,13 15%,31 36%,43 49%,87 100%,31,118
Quesnel,6 5%,16 14%,92 81%,114 100%,7,121
Sechelt/Gibsons,10 17%,15 25%,35 58%,60 100%,24,84
Smithers,2 7%,6 22%,19 70%,27 100%,6,33
Squamish,33 37%,17 19%,39 44%,89 100%,18,107
Vernon,6 6%,21 21%,71 72%,98 100%,126,224
Williams Lake,2 6%,10 28%,24 67%,36 100%,15,51
Fraser Valley,56 8%,256 39%,347 53%,659 100%,236,895
Greater Victoria,58 9%,100 15%,505 76%,663 100%,345,"1,008"
Kamloops,9 6%,26 19%,104 75%,139 100%,67,206
Kelowna,13 8%,19 12%,124 79%,156 100%,141,297
Metro Vancouver,289 13%,521 24%,"1,350 63%","2,160 100%",1474,"3,634"
Nanaimo,18 6%,60 18%,248 76%,326 100%,80,406
Prince George,6 6%,29 27%,73 68%,108 100%,78,186
Salt Spring Island,N/A N/A,N/A N/A,N/A N/A,N/A N/A,146,146
Terrace,5 10%,18 38%,25 52%,48 100%,26,74
Other Communities,N/A N/A,N/A N/A,N/A N/A,N/A N/A,190,190
Total,573 10%,"1,301 24%","3,588 66%","5,462 100%","3,203","8,665"
