X,Don.t.Medical.Learning,X.1,X.2
,Condition/,NA,
,Physical,NA,
,Mental,NA,
,Disability or Know/,NA,
,Disability,NA,
,Health Addiction Respondents,NA,Total
Health Conditions,No Illness Issue Cognitive,NA,
,Impairment Answer,NA,
,# % # % # % # % # % # % #,NA,#
Campbell River,27 30% 23 26% 57 63% 62 69% 29 32% 90 100% 26,NA,116
Comox Valley,55 49% 54 48% 56 50% 64 57% 36 32% 113 100% 19,NA,132
Cranbrook,28 47% 20 34% 31 53% 38 64% 13 22% 59 100% 4,NA,63
Duncan,36 41% 41 47% 38 43% 55 63% 17 19% 88 100% 41,NA,129
Fort St. John,41 60% 33 49% 33 49% 42 62% 22 32% 68 100% 8,NA,76
Merritt,11 41% 8 30% 15 56% 21 78% 2 7% 27 100% 16,NA,43
Parksville/Qualicum,33 48% 34 49% 41 59% 47 68% 16 23% 69 100% 18,NA,87
Penticton,34 43% 39 49% 52 65% 50 63% 25 31% 80 100% 34,NA,114
Port Alberni,49 50% 43 44% 60 61% 86 88% 32 33% 98 100% 27,NA,125
Prince Rupert,37 43% 22 25% 26 30% 52 60% 13 15% 87 100% 31,NA,118
Quesnel,56 49% 44 39% 74 65% 96 84% 41 36% 114 100% 7,NA,121
Sechelt/Gibsons,22 37% 16 27% 34 57% 27 45% 10 17% 60 100% 24,NA,84
Smithers,15 56% 9 33% 13 48% 18 67% 11 41% 27 100% 6,NA,33
Squamish,23 26% 18 20% 34 38% 43 48% 9 10% 89 100% 18,NA,107
Vernon,42 43% 47 48% 62 63% 83 85% 36 37% 98 100% 126,NA,224
Williams Lake,21 58% 13 36% 12 33% 26 72% 11 31% 36 100% 15,NA,51
Fraser Valley,245 37% 170 26% 287 44% 440 67% 0 0% 659 100% 236,NA,895
Greater Victoria,311 47% 277 42% 391 59% 466 70% 257 39% 663 100% 345,NA,"1,008"
Kamloops,64 46% 60 43% 83 60% 112 81% 43 31% 139 100% 67,NA,206
Kelowna,69 44% 60 38% 96 62% 124 79% 68 44% 156 100% 141,NA,297
Metro Vancouver,"991 46% 786 36% 990 46% 1,306 60% 506 23%  2,160 100%  1,474",NA,"3,634"
Nanaimo,139 43% 109 33% 208 64% 262 80% 94 29% 326 100% 80,NA,406
Prince George,38 35% 38 35% 64 59% 77 71% 43 40% 108 100% 78,NA,186
Salt Spring Isl.,N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A 146,NA,146
Terrace,16 33% 13 27% 15 31% 36 75% 13 27% 48 100% 26,NA,74
Other Comm.,N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A 190,NA,190
Total,"2,403 44% 1,977 36% 2,772 51% 3,633 67% 1,347 25% 5,462 100% 3,203",NA,"8,665"
