X,X.1,X.2,X.3,X.4,X.5,Don.t,X.6
,,Under 6,6 months to <1,1 year and,,,
,,,,,Respondents,,
,,,,,,Know/,
,,,,,,,Total
Length of Time Homeless,,Months,year,over,,No,
,,,,,,Answer,
,#,%,# %,# %,# %,#,#
Campbell River,19,22%,9 11%,57 67%,85 100%,31,116
Comox Valley,38,33%,16 14%,60 53%,114 100%,18,132
Cranbrook,20,39%,13 25%,18 35%,51 100%,12,63
Duncan,19,23%,7 8%,57 69%,83 100%,46,129
Fort St. John,28,45%,8 13%,26 42%,62 100%,14,76
Merritt,9,35%,2 8%,15 58%,26 100%,17,43
Parksville/Qualicum,12,16%,6 8%,56 76%,74 100%,13,87
Penticton,22,30%,10 14%,41 56%,73 100%,41,114
Port Alberni,11,11%,16 16%,72 73%,99 100%,26,125
Prince Rupert,34,38%,10 11%,45 51%,89 100%,29,118
Quesnel,47,42%,10 9%,56 50%,113 100%,8,121
Sechelt/Gibsons,17,30%,5 9%,34 61%,56 100%,28,84
Smithers,5,17%,1 3%,24 80%,30 100%,3,33
Squamish,29,33%,9 10%,49 56%,87 100%,20,107
Vernon,23,25%,11 12%,58 63%,92 100%,132,224
Williams Lake,16,48%,4 12%,13 39%,33 100%,18,51
Fraser Valley,128,23%,66 12%,372 66%,566 100%,329,895
Greater Victoria,109,18%,80 13%,426 69%,615 100%,393,"1,008"
Kamloops,46,42%,9 8%,54 50%,109 100%,97,206
Kelowna,43,30%,16 11%,86 59%,145 100%,152,297
Metro Vancouver,548,26%,246 12%,"1,326 63%","2,120 100%","1,514","3,634"
Nanaimo,53,17%,65 21%,199 63%,317 100%,89,406
Prince George,19,19%,16 16%,63 64%,98 100%,88,186
Salt Spring Island,N/A,N/A,N/A N/A,N/A N/A,N/A N/A,146,146
Terrace,15,31%,5 10%,29 59%,49 100%,25,74
Other Communities,N/A,N/A,N/A N/A,N/A N/A,N/A N/A,190,190
Total,"1,310",25%,640 12%,"3,236 62%","5,186 100%","3,479","8,665"
