X,X.1,Under.1,X.2,X.3,X.4,X.5,X.6,X.7,X.8
,,,1 Year to,5 Years to,,,,,
,,,,,,,,Don't,
Length of Time in,,Year,Under 5,Under 10,,,,,
,,,,,10 Years or,Always Been,,Know/,
,,,Years,Years,,,,,
,,,,,More,in Community,,,
,,,,,,,Respondents,,
,,,,,,,,No,
,,,,,,,,,Total
Community,,,,,,,,Answer,
,#,%,# %,# %,# %,# %,# %,#,#
Campbell River,21,24%,15 17%,11 13%,14 16%,25 29%,86 100%,30,116
Comox Valley,24,22%,17 15%,9 8%,35 32%,25 23%,110 100%,22,132
Cranbrook,15,26%,10 18%,7 12%,14 25%,11 19%,57 100%,6,63
Duncan,11,13%,21 24%,15 17%,25 28%,16 18%,88 100%,41,129
Fort St. John,18,26%,6 9%,7 10%,13 19%,24 35%,68 100%,8,76
Merritt,7,27%,4 15%,1 4%,8 31%,6 23%,26 100%,17,43
Parksville/Qualicum,13,19%,17 25%,10 15%,17 25%,11 16%,68 100%,19,87
Penticton,19,27%,13 18%,6 8%,22 31%,11 15%,71 100%,43,114
Port Alberni,4,5%,12 14%,8 9%,21 24%,43 49%,88 100%,37,125
Prince Rupert,7,8%,11 13%,3 4%,20 24%,42 51%,83 100%,35,118
Quesnel,16,14%,20 18%,13 12%,34 30%,29 26%,112 100%,9,121
Sechelt/Gibsons,15,24%,13 21%,5 8%,12 19%,17 27%,62 100%,22,84
Smithers,4,15%,2 8%,2 8%,3 12%,15 58%,26 100%,7,33
Squamish,15,18%,24 29%,11 13%,21 26%,11 13%,82 100%,25,107
Vernon,15,16%,25 27%,14 15%,27 29%,12 13%,93 100%,131,224
Williams Lake,5,15%,3 9%,1 3%,8 24%,17 50%,34 100%,17,51
Fraser Valley,0,N/A,0 N/A,0 N/A,0 N/A,0 N/A,0 N/A,895,895
Greater Victoria,78,12%,103 16%,66 10%,241 37%,161 25%,649 100%,359,"1,008"
Kamloops,33,24%,27 20%,16 12%,41 30%,19 14%,136 100%,70,206
Kelowna,32,21%,39 25%,20 13%,50 32%,13 8%,154 100%,143,297
Metro Vancouver,379,18%,375 18%,235 11%,722 35%,371 18%,"2,082 100%","1,552","3,634"
Nanaimo,28,9%,52 16%,30 9%,98 30%,118 36%,326 100%,80,406
Prince George,9,9%,19 18%,15 14%,36 34%,26 25%,105 100%,81,186
Salt Spring Isl.,N/A,N/A,N/A N/A,N/A N/A,N/A N/A,N/A N/A,N/A N/A,146,146
Terrace,12,24%,10 20%,2 4%,12 24%,14 28%,50 100%,24,74
Other Comm.,N/A,N/A,N/A N/A,N/A N/A,N/A N/A,N/A N/A,N/A N/A,190,190
Total,780,17%,838 18%,507 11%,"1,494 32%","1,037 22%","4,656 100%","4,009","8,665"
